Token,PNL,Total orders,Total trades,Volume traded,Winning trades,Win Loss Ratio,Win loss points,PNl turover ratio in bps,Annualised Sharpe ratio,Drawdown
35001,10235.25,98,98,7350,26,0.3611111111111111,1.18240750641574,31.922530728973808,1.18699818201579,-7.359043173862306
35001,6333.0,114,114,8550,28,0.32558139534883723,1.0982568828690449,17.80238759449349,0.6792992315926515,-0.9937204675453865
35001,-42596.25,76,76,5700,3,0.0410958904109589,0.01619608522432015,-191.3568496116091,-19.659685170203648,-0.0
35001,-5177.249999999996,104,104,7800,22,0.2682926829268293,0.851707841031149,-17.2766468438647,-0.9853976679785588,-7.56796116504855
35001,-57844.5,144,144,10800,13,0.09923664122137404,0.08047594067432894,-150.97127345089334,-15.07947608346665,-0.0
35001,-11962.5,154,154,11550,38,0.3275862068965517,0.5181996677239091,-31.303542304922015,-4.071660204647426,-48.03100775193763
35001,3711.75,228,228,17100,68,0.425,1.227320747783751,6.934015049712923,1.1901836258476628,-0.6953336616596879
35001,-3186.375,150,150,11250,37,0.3274336283185841,0.9522825421606229,-9.040378263811155,-0.347491369360646,-1.405177715631782
35001,-2150.625,122,122,9150,26,0.2708333333333333,0.9601417798936654,-7.724878486381787,-0.2865499057920703,-5.721775525938961
35001,-5752.5,106,106,7950,28,0.358974358974359,0.7496164267293448,-25.103835617335065,-1.690478853599258,-3.13419174681973
35001,20937.375,162,162,12150,45,0.38461538461538464,1.3669385314046496,61.007050672467436,2.2507762332684944,-1.9361509706981794
35001,-360.0,124,124,9300,33,0.3626373626373626,0.9932275132275137,-1.4090998494024538,-0.05124222490881866,-5.005977632086383
35001,8305.125,134,134,10050,35,0.35353535353535354,1.18106528226301,31.15536506865589,1.1980706092499247,-1.1670218660756138
35001,4303.125,122,122,9150,32,0.35555555555555557,1.0887175958497948,19.76589259584305,0.6533458277965966,-8.70493685419058
35001,1237.875,106,106,7950,27,0.34177215189873417,1.037936860009424,7.3084638919596046,0.26389838597050896,-2.4761800699300704
35001,-1879.875,142,142,10650,35,0.32710280373831774,0.9568272832967318,-9.389843721757185,-0.3202143814107623,-14.185965848452502
35001,2737.875,156,156,11700,41,0.3565217391304348,1.0567275044093765,13.052834749967865,0.4243315653688648,-1.8613008531533766
35001,-3325.5,124,124,9300,30,0.3191489361702128,0.8862726992920898,-21.695455306089897,-0.8240511205786571,-1.698030031684805
35001,-5377.500000000002,158,158,11850,39,0.3277310924369748,0.8760994660353556,-31.02767824687128,-1.0081815166461807,-1.9501509341600727
35001,3395.25,154,154,11550,40,0.3508771929824561,1.0988169038679816,21.580912690978206,0.7139939924039842,-1.2060538295663292
35001,-8233.5,152,152,11400,34,0.288135593220339,0.7978976048896335,-52.63253782034747,-1.728195485858781,-111.42021276595942
35001,-13711.125,134,134,10050,26,0.24074074074074073,0.6289037522709513,-112.61737842956617,-3.5894239754137085,-8.167810233287597
35001,6364.5,108,108,8100,32,0.42105263157894735,1.4441071802386434,87.42541126825569,2.86359003987614,-1.4012492563950043
