token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,exchange_type
58629,NIFTY31DEC2612000PE,NIFTY,31DEC2026,12000.0,75,OPTIDX,NFO,5.0,2
58624,NIFTY25JUN2612000CE,NIFTY,25JUN2026,12000.0,75,OPTIDX,NFO,5.0,2
58625,NIFTY25JUN2612000PE,NIFTY,25JUN2026,12000.0,75,OPTIDX,NFO,5.0,2

37797,NIFTY24DEC2513000PE,NIFTY,24DEC2025,13000.0,75,OPTIDX,NFO,5.0,2
37802,NIFTY25JUN2613000PE,NIFTY,25JUN2026,13000.0,75,OPTIDX,NFO,5.0,2
58631,NIFTY31DEC2613000PE,NIFTY,31DEC2026,13000.0,75,OPTIDX,NFO,5.0,2

58633,NIFTY31DEC2614000PE,NIFTY,31DEC2026,14000.0,75,OPTIDX,NFO,5.0,2
43386,NIFTY26JUN2514000PE,NIFTY,26JUN2025,14000.0,75,OPTIDX,NFO,5.0,2
50444,NIFTY25JUN2614000PE,NIFTY,25JUN2026,14000.0,75,OPTIDX,NFO,5.0,2

40091,NIFTY26JUN2515000PE,NIFTY,26JUN2025,15000.0,75,OPTIDX,NFO,5.0,2
49174,NIFTY24DEC2515000PE,NIFTY,24DEC2025,15000.0,75,OPTIDX,NFO,5.0,2
50448,NIFTY25JUN2615000PE,NIFTY,25JUN2026,15000.0,75,OPTIDX,NFO,5.0,2
58635,NIFTY31DEC2615000PE,NIFTY,31DEC2026,15000.0,75,OPTIDX,NFO,5.0,2
53595,NIFTY30DEC2715000PE,NIFTY,30DEC2027,15000.0,75,OPTIDX,NFO,5.0,2

50462,NIFTY25JUN2616000PE,NIFTY,25JUN2026,16000.0,75,OPTIDX,NFO,5.0,2
39680,NIFTY26JUN2516000PE,NIFTY,26JUN2025,16000.0,75,OPTIDX,NFO,5.0,2
58636,NIFTY31DEC2616000CE,NIFTY,31DEC2026,16000.0,75,OPTIDX,NFO,5.0,2
49178,NIFTY24DEC2516000PE,NIFTY,24DEC2025,16000.0,75,OPTIDX,NFO,5.0,2
49177,NIFTY24DEC2516000CE,NIFTY,24DEC2025,16000.0,75,OPTIDX,NFO,5.0,2
58637,NIFTY31DEC2616000PE,NIFTY,31DEC2026,16000.0,75,OPTIDX,NFO,5.0,2
49180,NIFTY24DEC2516500PE,NIFTY,24DEC2025,16500.0,75,OPTIDX,NFO,5.0,2
50498,NIFTY25JUN2617000PE,NIFTY,25JUN2026,17000.0,75,OPTIDX,NFO,5.0,2
50497,NIFTY25JUN2617000CE,NIFTY,25JUN2026,17000.0,75,OPTIDX,NFO,5.0,2
61383,NIFTY27DEC2917000PE,NIFTY,27DEC2029,17000.0,75,OPTIDX,NFO,5.0,2
45873,NIFTY24DEC2517000CE,NIFTY,24DEC2025,17000.0,75,OPTIDX,NFO,5.0,2
86138,NIFTY29JUN2817000PE,NIFTY,29JUN2028,17000.0,75,OPTIDX,NFO,5.0,2
45874,NIFTY24DEC2517000PE,NIFTY,24DEC2025,17000.0,75,OPTIDX,NFO,5.0,2
45865,NIFTY26JUN2517000CE,NIFTY,26JUN2025,17000.0,75,OPTIDX,NFO,5.0,2
67769,NIFTY28DEC2817000PE,NIFTY,28DEC2028,17000.0,75,OPTIDX,NFO,5.0,2
89610,NIFTY28JUN2917000CE,NIFTY,28JUN2029,17000.0,75,OPTIDX,NFO,5.0,2
71546,NIFTY24JUN2717000PE,NIFTY,24JUN2027,17000.0,75,OPTIDX,NFO,5.0,2
89611,NIFTY28JUN2917000PE,NIFTY,28JUN2029,17000.0,75,OPTIDX,NFO,5.0,2
53602,NIFTY30DEC2717000PE,NIFTY,30DEC2027,17000.0,75,OPTIDX,NFO,5.0,2
45866,NIFTY26JUN2517000PE,NIFTY,26JUN2025,17000.0,75,OPTIDX,NFO,5.0,2
53599,NIFTY30DEC2717000CE,NIFTY,30DEC2027,17000.0,75,OPTIDX,NFO,5.0,2
58638,NIFTY31DEC2617000CE,NIFTY,31DEC2026,17000.0,75,OPTIDX,NFO,5.0,2
67768,NIFTY28DEC2817000CE,NIFTY,28DEC2028,17000.0,75,OPTIDX,NFO,5.0,2
86137,NIFTY29JUN2817000CE,NIFTY,29JUN2028,17000.0,75,OPTIDX,NFO,5.0,2
64678,NIFTY25SEP2517000CE,NIFTY,25SEP2025,17000.0,75,OPTIDX,NFO,5.0,2
64679,NIFTY25SEP2517000PE,NIFTY,25SEP2025,17000.0,75,OPTIDX,NFO,5.0,2
71545,NIFTY24JUN2717000CE,NIFTY,24JUN2027,17000.0,75,OPTIDX,NFO,5.0,2
61382,NIFTY27DEC2917000CE,NIFTY,27DEC2029,17000.0,75,OPTIDX,NFO,5.0,2
58639,NIFTY31DEC2617000PE,NIFTY,31DEC2026,17000.0,75,OPTIDX,NFO,5.0,2
67771,NIFTY28DEC2818000PE,NIFTY,28DEC2028,18000.0,75,OPTIDX,NFO,5.0,2
64553,NIFTY27MAR2518000PE,NIFTY,27MAR2025,18000.0,75,OPTIDX,NFO,5.0,2
